Efternavne, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
HØJRUP	455
BØRSTING	454
FRØLUND	454
LUNDSTRØM	454
SKAFTE	453
TIMM	453
TOPP	453
AYDIN	452
WILHELMSEN	452
HERSKIND	451
THORSAGER	451
OHLSEN	450
RUNGE	450
DREIER	449
BJØRNSKOV	448
HOSTRUP	448
JÖNSSON	448
KORKMAZ	448
TØTTRUP	448
DEHN	446
HASSING	446
LINDAHL	446
PEHRSON	446
VILSTRUP	446
BOJE	444
BUUR	444
HOPPE	444
MØRCK	444
NYMAND	444
THINGGAARD	444
FORSBERG	443
HOUMANN	443
ROKKJÆR	443
THYBO	443
HAHN	442
HESSELBERG	442
HUANG	442
KJER	442
NØRGÅRD	442
SKOVBY	442
TOBIASEN	442
JUNGE	441
LAUESEN	441
ABEL	440
BROWN	440
NYBO	438
AZIZI	437
HOANG	437
MENG	437
MORSING	437
MOURIDSEN	437
GRAU	436
YANG	436
ALS	435
GULDBORG	435
HEIBERG	435
HOVMAND	435
MAGNUSSON	435
PRIMDAHL	435
THAPA	435
AGERHOLM	434
LIST	434
THORSTED	433
BENDSEN	432
STRAUSS	432
BÆRENTSEN	431
ALBÆK	430
LANGKILDE	430
NELLEMANN	430
SCHJØDT	430
ENGELBRECHT	429
ENGGAARD	429
HEDELUND	429
MALMBERG	429
MONRAD	429
RITTER	429
NORMANN	428
BROCH	427
HELMS	427
ISLAM	427
KONGSTED	427
SCHØLER	427
KAMSTRUP	426
GLUD	425
MØLDRUP	425
RAAHAUGE	425
SANDAGER	425
DYBDAL	424
FRIBERG	424
HJELM	424
INGEMANN	424
KRAUSE	424
BEK	423
BIGUM	423
GISSEL	423
SEERUP	423
ØHLENSCHLÆGER	423
BERGSTRØM	422
BINDERUP	422
SAABYE	422
OTHMAN	420
KJELLERUP	419
LAUTRUP	418
ARILDSEN	416
HOLLÆNDER	416
KLINGE	416
MOHAMUD	416
ROTH	416
ERLANDSEN	415
OBEL	415
PRÆST	414
BASSE	413
UHRENHOLT	413
BALTZER	412
BASTHOLM	412
FALCK	412
JOKUMSEN	412
PETTERSON	412
BEHRENS	411
HØG	411
SINDING	411
AGERBO	410
DREWSEN	410
KUMAR	410
LEMMING	410
TIMMERMANN	410
WOLLESEN	410
GULDHAMMER	409
SCHEEL	409
BIRKEDAL	408
GAD	408
GASHI	408
KASSEM	408
KIEL	408
SECILMIS	408
TERKILDSEN	408
TONNESEN	408
ABILDTRUP	407
BRUUS	407
NØRAGER	407
AASKOV	406
BAADSGAARD	405
CETIN	405
KOYUNCU	405
MAAGAARD	405
STAUSHOLM	405
SØNDERUP	405
BLICHFELDT	404
DENCKER	404
SNEDKER	404
BOSERUP	403
EJSING	403
ENGHOLM	403
LAGONI	403
LODAHL	403
BORRE	402
LINDBLAD	402
MYRUP	402
SØNDERGÅRD	402
LANGBALLE	401
RAHMAN	401
WILLADSEN	401
YOUSSEF	401
EDVARDSEN	400
HASTRUP	400
LÜTZEN	400
SAHL	400
SHARIF	400
SKOVBO	400
TYGESEN	400
FLYVHOLM	399
HVIDTFELDT	398
PHAN	398
TERMANSEN	398
ABDO	397
MERRILD	397
TRIER	397
GALSGAARD	396
INGERSLEV	396
MOLIN	396
RODE	396
SUND	396
BIRKHOLM	395
SØBORG	395
WORSØE	395
JANTZEN	394
JENSBY	394
KORNUM	394
MEINCKE	394
SØEGAARD	394
VAMMEN	394
REENBERG	393
TAMANG	393
SPANGGAARD	392
VOGNSEN	392
BIRKELUND	391
HVAM	391
KOK	391
WILSON	391
BARAN	390
HEDEMANN	390
HINGE	390
MOHAMMADI	390
CARLSON	389
HÅKANSSON	389
KAMPMANN	389
SKIBSTED	389
HØJMARK	388
TOFTE	388
ELSBORG	387
LUNDING	387
MILLING	387
TANDRUP	387
MATTSSON	386
THEILGAARD	386
ANKERSTJERNE	385
COSKUN	385
DEVANTIER	385
DEVECI	385
GROVE	385
HYLDAHL	385
KLAVSEN	385
WINDING	385
AWAD	384
BARFOD	384
DOHN	384
KONGSTAD	384
BRIXEN	383
DOLLERUP	383
GRAFF	383
MEHLSEN	383
ENGELL	382
SØBERG	382
SOMMERLUND	381
DYBDAHL	380
DYHRBERG	380
ODDERSHEDE	380
STAUN	380
ASLAM	379
FRUERGAARD	379
LANGVAD	379
ROSS	379
SAUER	379
SCHWARZ	379
BERTRAM	378
HYTTEL	378
KROHN	378
LØNBORG	378
MANDRUP	378
BAUNSGAARD	377
BONDESEN	377
FRIBORG	377
KEKEC	377
OFFERSEN	377
SINDBERG	377
STJERNHOLM	377
THOLSTRUP	377
VIG	377
HORNSTRUP	376
NØRHOLM	376
SULAIMAN	376
CLEMENT	374
NAGEL	374
TAS	374
KOC	373
AGERGAARD	372
DAHLMANN	372
HEEGAARD	372
ÖZCAN	372
FUGL	371
HOLMEGAARD	371
STENGAARD	371
VISSING	371
HØJEN	370
NYEGAARD	370
RAMSING	370
ANKERSEN	369
BARSLUND	369
FRIMANN	369
SØLVSTEN	369
BORUM	368
HØIER	368
KASTBERG	368
SKJOLDBORG	368
STISEN	368
BRØNNUM	367
HEBSGAARD	367
SCHÜTT	367
SIMSEK	367
THRYSØE	367
GRØNNE	366
LANGGAARD	366
LUNDBY	366
UDSEN	366
VELLING	366
AARESTRUP	365
BIBI	365
RIISGAARD	365
SANDGAARD	365
EBDRUP	364
STARUP	364
BODILSEN	363
FUTTRUP	363
TAHA	363
ABDALLAH	362
SKAU	362
WENDELBOE	362
AMMITZBØLL	361
DALUM	361
FRIEDRICHSEN	361
FRØSIG	361
SABROE	361
BOMHOLT	360
JUHLER	360
KALTOFT	360
SCHUBERT	360
TAYLOR	360
THOSTRUP	360
VANDBORG	360
BAKER	359
FLENSBORG	359
FRØSLEV	359
LUNDQUIST	359
LYNGHOLM	359
OKHOLM	359
SKOVDAL	359
WISSING	359
BENNETZEN	358
FRAHM	358
RAI	358
ØSTER	358
GODIKSEN	357
KÆRGAARD	357
NORDAHL	357
RIISAGER	357
STRANDGAARD	356
THULSTRUP	356
YÜKSEL	356
FRYDENLUND	355
GYLLING	355
HAMAD	355
SANDHOLM	355
SKOTTE	355
BLÆSBJERG	354
HJERRILD	354
MULVAD	354
QVISTGAARD	354
VENG	354
XU	354
BERGHOLDT	353
BOHN	353
SCHILLING	353
SEJR	353
SKYUM	353
BLACH	352
CLEMENSEN	352
DO	352
